Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets",,Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets"
Indiabulls Hsg,"15,407.35",,,"3,729.26",,,"110,346.23",,,,,,,,,
UCO Bank,"14,330.63",,,,"1,946.22",13.58,"177,505.28",,,,,,,,,
Amrapali Ind,"14,081.15",,,,,,,,,,,,,,,
Oil India,"13,734.96",,,"2,590.14","1,576.53",11.48,"32,454.85",,,,,,,,,
Siemens,"13,683.80",,,"1,086.90","1,603.60",11.72,,,,,,,,,,
PTC India,"13,495.65",,,,,,,,,,,,,,,
Coromandel Int,"13,203.85","3,234.23",42.59,,,,,,,,,,,,,
Torrent Power,"12,977.52",,,,,,,,,,,,,,,
Dewan Housing,"12,883.88",,,,,,"100,078.44",,,,,,,,,
Ruchi Soya,"12,729.23",,,,,,,,,,,,,,,
Jindal Stainles,"12,585.01","2,044.16",70.47,,,,,,,,,,,,,
Cipla,"12,374.01","2,868.41",46.18,"1,888.41","1,839.84",14.87,,,,,,,,,,
Nestle,"12,368.90",,,"1,966.55","1,262.95",10.21,,,,,,,,,,
Apollo Tyres,"12,353.77","2,051.48",71.01,,,,,,,,,,,,,
Bosch,"12,257.90","1,444.30",33.87,"1,598.00","1,370.40",11.18,,,,,,,,,,
Aurobindo Pharm,"12,257.89","3,971.26",42.80,"1,529.73","1,362.77",11.12,,,,,,,,,,
NFL,"12,245.24","1,586.04",18.10,,,,,,,,,,,,,
NMDC,"12,152.67",,,"4,642.11","1,036.75",8.53,"22,063.78",,,,,,,,,
Bharat Elec,"12,084.60","4,413.65",41.38,"1,927.29","1,879.05",15.55,,,,,,,,,,
NCC,"12,079.76",,,,,,,,,,,,,,,
IDFC First Bank,"11,948.17",,,,"1,118.19",9.36,"137,164.68",,,,,,,,,
Shree Cements,"11,722.00","1,589.05",60.44,,,,,,,,,,,,,
Ambuja Cements,"11,667.88",,,"1,528.54",,,"20,194.08",,,,,,,,,
NALCO,"11,499.32",,,"1,732.40","2,072.28",18.02,,,,,,,,,,
Federal Bank,"11,419.02",,,,"1,377.76",12.07,"139,188.18",,,,,,,,,
Jaypee Infra,,"12,362.44",95.99,,,,,,,,,,,,,
HDIL,,"12,033.08",95.98,,,,,,,,,,,,,
DLF,,"11,357.26",75.01,,,,"22,154.64",,,,,,,,,
Prestige Estate,,"8,062.10",85.15,,,,,,,,,,,,,
Sobha,,"6,274.37",92.82,,,,,,,,,,,,,
PC Jeweller,,"4,988.11",70.45,,,,,,,,,,,,,
Jaiprakash Asso,,"4,864.79",77.95,,,,,,,,,,,,,
Puravankara,,"4,500.63",95.80,,,,,,,,,,,,,
Parsvnath,,"3,954.81",91.77,,,,,,,,,,,,,
Ansal Propertie,,"3,689.38",93.86,,,,,,,,,,,,,
Zee Entertain,,"3,256.40",56.29,"1,655.00",,,,,,,,,,,,
